URL,GBE,DBE,CBE,OBE,MBE,,,Total of GBE,Total of DBE,Total of CBE,Total of OBE,Total of MBE
https://www.kcl.ac.uk/people/mark-eccleston-turner,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/joe-fagan,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/asmaa-elgamal,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-stephan-engelkamp,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/adam-fagan,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/maren-elfert,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/loubna-el-amine,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/andrea-ellner,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/hassan-elbahtimy,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/guntars-ermansons,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/teresa-esteban-casanelles,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/regina-enjuto-martinez,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-marcus-faulkner,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/michael-farquhar,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/alice-evans,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/jonathan-fennell,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-frank-foley,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/octavio-ferraz,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/michael-flavin,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/chase-foster,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/aimee-fox,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/robert-francis,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/rebekka-friedman,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/carmen-fulco,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/william-fletcher,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/russell-foster,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/liz-fouksman,0,0,0,0,0,,,,,,,
