title,code,url,types,featured,applications_open,applications_close,intake,duration,fees,area_of_interest
Media Relations,(COM222),https://www.suss.edu.sg/courses/detail/com222,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Metaverse with Web3.0,(FIN539),https://www.suss.edu.sg/courses/detail/fin539,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Finance
Micro-skills for Interviews and Home-visits,(COS109),https://www.suss.edu.sg/courses/detail/cos109,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Social Services
Modern Javascript Programming,(FIN535),https://www.suss.edu.sg/courses/detail/fin535,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1320,Finance
Monetising Innovation: Valuation,(IPM558),https://www.suss.edu.sg/courses/detail/ipm558,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$3000,Business Administration
Multivariable Calculus,(MTH316),https://www.suss.edu.sg/courses/detail/mth316,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Narrative Therapy,(COU570),https://www.suss.edu.sg/courses/detail/cou570,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Social Services
Navigating Singapore's Film Industry,(FLM359),https://www.suss.edu.sg/courses/detail/flm359,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Digital Media
Negotiation Strategies,(CET509),https://www.suss.edu.sg/courses/detail/cet509,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1320,General Studies
Non-Traditional Security,(SEC345),https://www.suss.edu.sg/courses/detail/sec345,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Others
Numerical Analysis,(EAS439),https://www.suss.edu.sg/courses/detail/eas439,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1844,Science and Technology
Occupational Biomechanics,(HFS206),https://www.suss.edu.sg/courses/detail/hfs206,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Ocean Freight Management,(MTM353),https://www.suss.edu.sg/courses/detail/mtm353,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Others
OECD Model Tax Convention,(TAX521),https://www.suss.edu.sg/courses/detail/tax521,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Business Administration
Online Channel Creation & Management,(MTD366),https://www.suss.edu.sg/courses/detail/mtd366,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Digital Media
Operation and Maintenance of Building Services,(FMT302),https://www.suss.edu.sg/courses/detail/fmt302,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Operations Analytics,(BUS352),https://www.suss.edu.sg/courses/detail/bus352,"IHL Micro-Credentials, Modular Undergraduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Optimisation and Simulation for Decision-Making,(LOG307),https://www.suss.edu.sg/courses/detail/log307,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Patent Claims,(IPM527),https://www.suss.edu.sg/courses/detail/ipm527,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$3000,Business Administration
Patent Information & Search,(IPM571),https://www.suss.edu.sg/courses/detail/ipm571,"IHL Micro-Credentials, Modular Graduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$3000,Business Administration
Patent Practice in Singapore,(IPM523),https://www.suss.edu.sg/courses/detail/ipm523,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$3000,Business Administration
Pedagogical Grammar,(TSL561),https://www.suss.edu.sg/courses/detail/tsl561,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2200,Linguistics and Languages
Performance Management and Total Rewards Strategy,(HCM553),https://www.suss.edu.sg/courses/detail/hcm553,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Performance Psychology,(PSY371),https://www.suss.edu.sg/courses/detail/psy371,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Personality and Individual Differences,(PSY259),https://www.suss.edu.sg/courses/detail/psy259,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Physiology and Infectious Diseases,(BME108),https://www.suss.edu.sg/courses/detail/bme108,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1529,Science and Technology
Popular Culture,(SOC365),https://www.suss.edu.sg/courses/detail/soc365,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Predictive Modelling,(ANL307),https://www.suss.edu.sg/courses/detail/anl307,"IHL Micro-Credentials, Modular Undergraduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Pricing,(MKT362),https://www.suss.edu.sg/courses/detail/mkt362,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Procurement and Supply Management in the Digital Era,(LOG304),https://www.suss.edu.sg/courses/detail/log304,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Procurement Management,(BPM213),https://www.suss.edu.sg/courses/detail/bpm213,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Procurement Strategy and Policy,(PRM317),https://www.suss.edu.sg/courses/detail/prm317,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Management
Project Financing in Built Environment,(BPM502),https://www.suss.edu.sg/courses/detail/bpm502,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Project Scheduling and Control,(BPM305),https://www.suss.edu.sg/courses/detail/bpm305,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Psychology of Creativity,(PSY355),https://www.suss.edu.sg/courses/detail/psy355,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Psychology of Nonverbal Behaviours,(PSY373),https://www.suss.edu.sg/courses/detail/psy373,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Python Programming,(FIN551),https://www.suss.edu.sg/courses/detail/fin551,"Certificate Course, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1320,Finance
Qualitative Data Analysis,(ABS352),https://www.suss.edu.sg/courses/detail/abs352,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Real Analysis I,(MTH312),https://www.suss.edu.sg/courses/detail/mth312,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Redefining Translation in the Digital Age,(CTI212),https://www.suss.edu.sg/courses/detail/cti212,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Linguistics and Languages
Rehabilitation and Protection of Individuals and Families,(SWK577),https://www.suss.edu.sg/courses/detail/swk577,Modular Graduate Course,FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Social Services
Rehabilitative and Assistive Engineering,(BME315),https://www.suss.edu.sg/courses/detail/bme315,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1529,Science and Technology
Religion in Contemporary Societies,(HBC251),https://www.suss.edu.sg/courses/detail/hbc251,Modular Undergraduate Course,FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Renewable Energy Systems,(FMT409),https://www.suss.edu.sg/courses/detail/fmt409,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Research Methods in Applied Linguistics,(TSL573),https://www.suss.edu.sg/courses/detail/tsl573,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2200,Linguistics and Languages
RF and Microwave Design of Wireless Systems,(ENG333),https://www.suss.edu.sg/courses/detail/eng333,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Risk Management for Finance and Technology,(FIN382),https://www.suss.edu.sg/courses/detail/fin382,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Finance
"Safety Standards, Legislations and Best Practices",(HFSY355),https://www.suss.edu.sg/courses/detail/hfsy355,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Scriptwriting: The Short Film,(FLM364),https://www.suss.edu.sg/courses/detail/flm364,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Digital Media
Search Engine Marketing,(MKT559),https://www.suss.edu.sg/courses/detail/mkt559,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1320,Business Administration
Semiconductor Devices,(ENG325),https://www.suss.edu.sg/courses/detail/eng325,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Services Marketing,(MKT363),https://www.suss.edu.sg/courses/detail/mkt363,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Shipping Contracts and Management,(MTM331),https://www.suss.edu.sg/courses/detail/mtm331,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Others
Shipping Finance Management and Analytics,(MTM333),https://www.suss.edu.sg/courses/detail/mtm333,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Others
Social Capital and Social Impact,(NPM507),https://www.suss.edu.sg/courses/detail/npm507,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Social Emotional Learning,(COU104),https://www.suss.edu.sg/courses/detail/cou104,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Social Services
Social Policy and Societal Well-being,(ABS355),https://www.suss.edu.sg/courses/detail/abs355,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Social Policy in Gerontology,(GER511),https://www.suss.edu.sg/courses/detail/ger511,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Gerontology
Social Psychology,(PSY205),https://www.suss.edu.sg/courses/detail/psy205,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1461,Humanities and Social Sciences
Sociology of Education,(SOC313),https://www.suss.edu.sg/courses/detail/soc313,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Sociology of Family,(SOC315),https://www.suss.edu.sg/courses/detail/soc315,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Southeast Asian Societies,(SOC367),https://www.suss.edu.sg/courses/detail/soc367,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Special and Mega Events,(EMT401),https://www.suss.edu.sg/courses/detail/emt401,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Management
Stochastic Processes I,(MTH361),https://www.suss.edu.sg/courses/detail/mth361,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
"Strategic Asset, Property and Facilities Management",(FMT306),https://www.suss.edu.sg/courses/detail/fmt306,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Strategic Planning & Change Management for Non-Profit Organisations,(NPM511),https://www.suss.edu.sg/courses/detail/npm511,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Strategic Social Media Management,(COM376),https://www.suss.edu.sg/courses/detail/com376,"IHL Micro-Credentials, Modular Undergraduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Strategies for Supply Chain Management,(SCM501),https://www.suss.edu.sg/courses/detail/scm501,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Business Administration
Supplier Relationship Management,(PRM313),https://www.suss.edu.sg/courses/detail/prm313,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Management
Sustainability Marketing,(MKT366),https://www.suss.edu.sg/courses/detail/mkt366,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Sustainable Buildings,(FMT315),https://www.suss.edu.sg/courses/detail/fmt315,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Built Environment
Sustainable Development for Social Well-Being,(CSD510),https://www.suss.edu.sg/courses/detail/csd510,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Humanities and Social Sciences
Systemic Family Therapy Supervision,(COU508),https://www.suss.edu.sg/courses/detail/cou508,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Social Services
Tax Planning and International Taxation,(TAX507),https://www.suss.edu.sg/courses/detail/tax507,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Business Administration
Taxation and the Digital Economy,(TAX535),https://www.suss.edu.sg/courses/detail/tax535,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Business Administration
